date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2021-08-03,27.3,21.04,20.45,13.6,29,,78,59.8,58.5,39,15.3,12.6,12.6,9.8,21,12.08,11.5,2,35,23,101.94,101.84,101.82,101.69,99.87,99.77,99.75,99.62,24100,24100,24100,24100,,,,,0,2.5,15.4,13.4,10.4,0,0,0,,6:09:00,1627985340,6.15,20:39:00,1628037540,20.65,14.5,8,8,27,27,17,17,,,,,,5,2,2.5,0,,,,
2021-08-04,27.4,21.85,21.5,15.6,30,,80,59,55,30,16.8,12.8,12.2,7.5,18,8.46,10,2,,,102.08,101.97,101.96,101.83,100.01,99.9,99.89,99.77,24100,24100,24100,24100,,,,,0,3.5,16.5,14.5,11.5,0,0,0,,6:10:00,1628071800,6.17,20:37:00,1628123820,20.62,14.45,8,8,27,27,15,16,,,,,,4,1,2,0,,,,
2021-08-05,27.8,22.68,21.3,14.8,33,,82,62,61,40,19.1,14.8,15.3,11.5,18,8.96,9.5,1,,,102.05,101.93,101.92,101.79,99.98,99.87,99.85,99.72,24100,23500,21700,19300,,,,,0,3.3,16.3,14.3,11.3,0,0,0,,6:11:00,1628158260,6.18,20:36:00,1628210160,20.6,14.42,8,8,28,28,17,17,,,,,,5,1.2,2.5,0,,,,
2021-08-06,29.3,24.3,23.6,17.9,34,,72,58.6,59.5,47,18.3,15.6,15.8,13.4,24,13.25,14,4,40,23,101.93,101.77,101.73,101.53,99.86,99.71,99.67,99.49,24100,24100,24100,24100,,,,,0,5.6,18.6,16.6,13.6,0,0,0,,6:12:00,1628244720,6.2,20:35:00,1628296500,20.58,14.38,8,8,29,29,19,20,,,,,,8,3.3,4,0,,,,
2021-08-07,27.9,22.42,23.7,19.5,34,,95,79.2,77,59,20.5,18.6,18.6,16.7,17,9.96,10,3,,,101.63,101.56,101.53,101.44,99.57,99.51,99.47,99.38,24100,23633.3,18500,12900,,,,,0,5.7,18.7,16.7,13.7,20.4,20.4,0,,6:13:00,1628331180,6.22,20:33:00,1628382780,20.55,14.33,7,8,28,29,19,19,,,,,,8,5.7,4,0,,,,
2021-08-08,28,23.54,23.35,18.7,35,,98,82.5,80,62,21.7,20.3,20.2,18.8,19,8.79,11,3,,,101.73,101.62,101.59,101.45,99.68,99.56,99.53,99.39,24100,19958.3,15250,6400,,,,,0,5.3,18.4,16.4,13.3,0.6,0.6,0,,6:14:00,1628417640,6.23,20:32:00,1628469120,20.53,14.3,5,8,29,29,21,21,,,,,,8,5.5,4,0,,,,
2021-08-09,30.9,26.12,26.45,22,40,,96,76.8,77,58,23.1,21.6,21.9,20.6,26,11.79,15,4,39,16,101.83,101.68,101.69,101.56,99.77,99.64,99.65,99.53,24100,18100,16900,9700,,,,,0,8.4,21.4,19.4,16.4,0,0,0,,6:15:00,1628504100,6.25,20:31:00,1628555460,20.52,14.27,8,8,32,32,21,23,,,,,,8,4.6,4.5,1,,,,
2021-08-10,28.3,25.41,25.85,23.4,37,,91,80.1,80.5,70,23.2,21.7,21.9,20.7,26,14.5,14,2,37,19,101.53,101.3,101.29,101.06,99.5,99.27,99.26,99.03,24100,21500,20100,16100,,,,,0,7.8,20.9,18.9,15.8,1,1,0,,6:16:00,1628590560,6.27,20:29:00,1628641740,20.48,14.22,5,5,26,26,22,22,,,,,,8,7.2,6,4,,,,
2021-08-11,32,26.21,27.15,22.3,41,,97,74.2,74,51,22.9,21.1,20.9,19,31,19.33,19.5,8,56,22,101.24,101.1,101.11,100.97,99.2,99.07,99.07,98.94,24100,22495.8,14450,4800,,,,,0,9.2,22.1,20.1,17.1,0.4,0.4,0,,6:17:00,1628677020,6.28,20:28:00,1628728080,20.47,14.18,5,8,28,31,22,23,,,,,,8,5.4,4,0,,,,
2021-08-12,30.1,25.23,25.95,21.8,38,,89,74.5,73,57,21.7,20.3,20.4,19.2,27,16.08,17.5,8,41,25,101.4,101.18,101.17,100.94,99.36,99.15,99.14,98.92,24100,24100,24100,24100,,,,,0,8,20.9,18.9,15.9,1.2,1.2,0,,6:18:00,1628763480,6.3,20:26:00,1628814360,20.43,14.13,7,9,29,31,21,22,,,,,,8,5,4.5,1,,,,
